key,description
cluster.alert.info,Summary of critical and above alerts on the cluster
cluster.health,"Health of the cluster: 0 = Healthy, 1 = Attention, 2 = Down"
node.health,"Health of a node: 0 = Healthy, 1 = Attention, 2 = Down"
cluster.group,Group description string
cluster.node.count.all,Number of configured nodes in the cluster
cluster.node.count.up,Number of cluster nodes currently up
cluster.node.count.down,Number of cluster nodes currently down
cluster.node.count.diskless,Number of configured diskless / accelerator nodes
cluster.node.count.smartfailed,Number of smartfailed nodes
cluster.node.count.readonly,Number of read-only nodes
cluster.node.list.all,List of configured lnns as a comma-separated list
cluster.node.list.up,List of up lnns as a comma-separated list
cluster.node.list.down,List of down lnns as a comma-separated list
cluster.node.list.diskless,List of accelerator lnns as a comma-separated list
cluster.node.list.smartfailed,List of smartfailed lnns as a comma-separated list
cluster.node.list.readonly,List of read-only lnns as a comma-separated list
ifs.bytes.avail,Number of available bytes in the /ifs filesystem
ifs.bytes.free,Number of free bytes in the /ifs filesystem
ifs.bytes.used,Number of used bytes in the /ifs filesystem
ifs.bytes.total,Total number of bytes in the /ifs filesystem
ifs.percent.avail,Percent of /ifs filesystem available for storage
ifs.percent.free,Percent of /ifs filesystem free for the system
ifs.percent.used,Percent of /ifs filesystem used for storage
ifs.ssd.bytes.free,Number of free bytes on SSDs in the /ifs filesystem
ifs.ssd.bytes.used,Number of used bytes on SSDs in the /ifs filesystem
ifs.ssd.bytes.total,Total number of bytes on SSDs in the /ifs filesystem
ifs.ssd.percent.free,Percent of SSD space in /ifs filesystem free for the system
ifs.ssd.percent.used,Percent of SSD space in /ifs filesystem used for storage
ifs.bytes.reserved.snapshots,"Space reserved for snapshots, in bytes"
ifs.bytes.reserved.drive,"Reserved space per drive, in bytes"
ifs.bytes.in,Cumulative number of bytes into /ifs
ifs.bytes.out,Cumulative number of bytes out of /ifs
ifs.bytes.in.rate,Cumulative throughput rate (bytes per second) into /ifs
ifs.bytes.out.rate,Cumulative throughput rate (bytes per second) out of /ifs
ifs.bytes.in.rate.max,Cumulative maximum throughput rate (bytes per second) into /ifs
ifs.bytes.out.rate.max,Cumulative maximum throughput rate (bytes per second) out of /ifs
ifs.ops.in,Cumulative number of operations into /ifs
ifs.ops.out,Cumulative number of operations out of /ifs
ifs.ops.in.rate,Cumulative operation rate (ops/sec) into /ifs
ifs.ops.out.rate,Cumulative operation rate (ops/sec) out of /ifs
node.cpu.count,Number of active CPUs in a node
cluster.cpu.count,Number of active CPUs in the cluster
node.cpu.idle.0,Idle CPU usage in tenths of a percent for CPU with index 0
node.cpu.idle.1,Idle CPU usage in tenths of a percent for CPU with index 1
node.cpu.idle.2,Idle CPU usage in tenths of a percent for CPU with index 2
node.cpu.idle.3,Idle CPU usage in tenths of a percent for CPU with index 3
node.cpu.idle.4,Idle CPU usage in tenths of a percent for CPU with index 4
node.cpu.idle.5,Idle CPU usage in tenths of a percent for CPU with index 5
node.cpu.idle.6,Idle CPU usage in tenths of a percent for CPU with index 6
node.cpu.idle.7,Idle CPU usage in tenths of a percent for CPU with index 7
node.cpu.idle.8,Idle CPU usage in tenths of a percent for CPU with index 8
node.cpu.idle.9,Idle CPU usage in tenths of a percent for CPU with index 9
